#r,"MP2/6-31++G(d,3p)"
2,560.09
2.1,343.94
2.2,206.90
2.3,120.64
2.4,66.63
2.5,33.00
2.6,12.25
2.7,-0.22
2.8,-7.30
2.9,-10.85
2.91,-11.06
2.92,-11.25
2.93,-11.42
2.94,-11.57
2.95,-11.70
2.96,-11.82
2.97,-11.92
2.98,-12.00
2.99,-12.07
3,-12.12
3.01,-12.16
3.02,-12.19
3.03,-12.20
3.04,-12.21
3.05,-12.20
3.06,-12.18
3.07,-12.15
3.08,-12.11
3.09,-12.07
3.1,-12.02
3.11,-11.95
3.12,-11.89
3.13,-11.81
3.14,-11.73
3.15,-11.65
3.16,-11.56
3.17,-11.46
3.18,-11.36
3.19,-11.26
3.2,-11.15
3.3,-9.94
3.4,-8.63
3.5,-7.39
3.6,-6.27
3.7,-5.28
3.8,-4.44
3.9,-3.72
4,-3.12
4.1,-2.60
4.2,-2.17
4.3,-1.81
4.4,-1.51
4.5,-1.27
4.6,-1.06
4.7,-0.90
4.8,-0.76
4.9,-0.65
5,-0.55
5.1,-0.48
5.2,-0.41
5.3,-0.36
5.4,-0.31
5.5,-0.28
5.6,-0.25
5.7,-0.22
5.8,-0.19
5.9,-0.17
6,-0.16
6.1,-0.14
6.2,-0.13
6.3,-0.12
6.4,-0.10
6.5,-0.09
6.6,-0.09
6.7,-0.08
6.8,-0.07
6.9,-0.07
7,-0.06
8,-0.03
9,-0.01
10,-0.01
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,0.00
17,0.00
18,0.00
19,0.00
20,0.00
